"spkid","full_name","neo","pha","sats","diameter","GM","BV","UB","IR","per_y"
20154590,"154590 (2003 MA3)",Y,Y,0,0.086,,,,,1.16
20154807,"154807 (2004 PP97)",Y,N,0,0.469,,,,,1.81
20154993,"154993 (2005 EA94)",Y,N,0,0.828,,,,,1.87
20155110,"155110 (2005 TB)",Y,N,0,0.683,,,,,1.42
20159454,"159454 (2000 DJ8)",Y,N,0,0.577,,,,,1.68
20159459,"159459 (2000 KB)",Y,N,0,1.769,,,,,3.57
20159504,"159504 (2000 WO67)",Y,Y,0,2.324,,,,,3.8
20159518,"159518 (2001 FF7)",Y,N,0,1.784,,,,,3.05
20159560,"159560 (2001 TO103)",Y,N,0,1.156,,,,,3.29
20159686,"159686 (2002 LB6)",Y,N,0,1.845,,,,,2.42
20159857,"159857 (2004 LJ1)",Y,Y,0,3.070,,,,,3.4
20159929,"159929 (2005 UK)",Y,N,0,2.620,,,,,2.59
20161989,"161989 Cacus (1978 CA)",Y,Y,0,1.9,,0.910,0.484,,1.19
20161999,"161999 (1989 RC)",Y,N,0,0.458,,,,,3.52
20162000,"162000 (1990 OS)",Y,Y,1,0.4,,,,,2.17
20162038,"162038 (1996 DH)",Y,N,0,1.959,,,,,2
20162058,"162058 (1997 AE12)",Y,N,0,0.847,,,,,3.64
20162080,"162080 (1998 DG16)",Y,N,0,0.777,,,,,0.849
20162116,"162116 (1998 SA15)",Y,Y,0,0.538,,,,,2.65
20162142,"162142 (1998 VR)",Y,N,0,0.462,,,,,0.819
20162173,"162173 Ryugu (1999 JU3)",Y,Y,0,0.896,3.00e-8,,,,1.3
20162181,"162181 (1999 LF6)",Y,N,0,0.729,,,,,1.67
20162269,"162269 (1999 VO6)",Y,N,0,1.010,,,,,1.21
20162385,"162385 (2000 BM19)",Y,N,0,0.812,,,,,0.637
20162463,"162463 (2000 JH5)",Y,N,0,1.048,,,,,1.23
20162483,"162483 (2000 PJ5)",Y,N,1,0.906,,,,,0.815
20162510,"162510 (2000 QW69)",Y,Y,0,1.406,,,,,1.61
20162566,"162566 (2000 RJ34)",Y,N,0,4.299,,,,,4.26
20162567,"162567 (2000 RW37)",Y,Y,0,0.335,,,,,1.39
20162741,"162741 (2000 WG6)",Y,N,0,3.945,,,,,3.53
20162903,"162903 (2001 JV2)",Y,N,0,1.086,,,,,1.49
20162980,"162980 (2001 RR17)",Y,N,0,0.790,,,,,1.94
20162998,"162998 (2001 SK162)",Y,Y,0,0.875,,,,,2.67
20163132,"163132 (2002 CU11)",Y,Y,0,0.460,,,,,1.35
20163243,"163243 (2002 FB3)",Y,Y,0,1.682,,,,,0.665
20163348,"163348 (2002 NN4)",Y,Y,0,0.735,,,,,0.82
20163454,"163454 (2002 RN129)",Y,N,0,0.712,,,,,1.25
20163691,"163691 (2003 BB43)",Y,N,0,3.449,,,,,3.76
20163694,"163694 (2003 DP13)",Y,N,0,0.832,,,,,4.29
20163760,"163760 (2003 OR14)",Y,N,0,2.343,,,,,3.98
20163818,"163818 (2003 RX7)",Y,Y,0,0.386,,,,,1.36
20163899,"163899 (2003 SD220)",Y,Y,0,0.791,,,,,0.753
20164121,"164121 (2003 YT1)",Y,Y,1,1.717,,,,,1.17
20164206,"164206 (2004 FN18)",Y,N,0,1.138,,,,,2.22
20164207,"164207 (2004 GU9)",Y,Y,0,0.163,,,,,1
20168318,"168318 (1989 DA)",Y,Y,0,0.9,,,,,3.18
20168378,"168378 (1997 ET30)",Y,N,0,0.841,,,,,3.12
20169352,"169352 (2001 UY16)",Y,N,0,0.316,,,,,3.01
20172034,"172034 (2001 WR1)",Y,N,0,0.631,,,,,1.44
20173689,"173689 (2001 PK9)",Y,N,0,0.724,,,,,2.37
20175706,"175706 (1996 FG3)",Y,Y,1,1.196,,,,,1.08
20175921,"175921 (2000 DM1)",Y,N,0,1.039,,,,,1.6
20184990,"184990 (2006 KE89)",Y,N,0,2.039,,,,,1.08
20185716,"185716 (1998 SF35)",Y,N,0,0.629,,,,,2.19
20185851,"185851 (2000 DP107)",Y,Y,1,0.863,3.224e-8,,,,1.6
20187040,"187040 (2005 JS108)",Y,Y,0,0.430,,,,,1.58
20190119,"190119 (2004 VA64)",Y,N,0,1.451,,,,,3.88
20190161,"190161 (2005 TJ174)",Y,N,0,3.041,,,,,3.35
20190166,"190166 (2005 UP156)",Y,N,1,1.045,,,,,3.08
20194268,"194268 (2001 UY4)",Y,Y,0,1.244,,,,,1.75
20194386,"194386 (2001 VG5)",Y,N,0,0.916,,,,,3.49
20198856,"198856 (2005 LR3)",Y,N,0,0.742,,,,,2.13
20200754,"200754 (2001 WA25)",Y,N,0,0.553,,,,,2.33
20206378,"206378 (2003 RB)",Y,Y,0,0.376,,,,,2.39
20207945,"207945 (1991 JW)",Y,Y,0,0.423,,,,,1.06
20209924,"209924 (2005 WS55)",Y,N,0,1.861,,,,,2.89
20211871,"211871 (2004 HO)",Y,N,0,0.411,,,,,2.51
20212359,"212359 (2006 EV52)",Y,N,0,1.261,,,,,2.86
20214088,"214088 (2004 JN13)",Y,N,0,2.423,,,,,4.91
20215442,"215442 (2002 MQ3)",Y,N,0,1.075,,,,,0.873
20215588,"215588 (2003 HF2)",Y,Y,0,0.488,,,,,1.18
20215757,"215757 (2004 FU64)",Y,N,0,0.780,,,,,2.49
20217628,"217628 Lugh (1990 HA)",Y,Y,0,1.4,,,,,4.02
20218017,"218017 (2001 XV266)",Y,N,0,0.451,,,,,1.31
20218863,"218863 (2006 WO127)",Y,N,0,1.237,,,,,3.26
