full_name,neo,pha,sats,diameter,GM,BV,UB,IR,per_y,pdes,name
25312 Asiapossenti (1998 YU6),N,N,0,18.194,,,,,5.77,25312,Asiapossenti
25344 (1999 RN72),N,N,0,23.288,,,,,12.2,25344,
25347 (1999 RQ116),N,N,0,28.649,,,,,12,25347,
25699 (2000 AD127),N,N,0,18.572,,,,,5.37,25699,
25700 (2000 AA128),N,N,0,16.498,,,,,4.79,25700,
25789 (2000 CK53),N,N,0,16.656,,,,,5.66,25789,
25791 (2000 CM61),N,N,0,16.088,,,,,5.65,25791,
25800 Glukhovsky (2000 CG83),N,N,0,16.313,,,,,7.97,25800,Glukhovsky
25842 (2000 EQ78),N,N,0,19.209,,,,,5.64,25842,
25843 (2000 EQ84),N,N,0,15.114,,,,,5.64,25843,
25869 Jacoby (2000 JP70),N,N,0,22.676,,,,,7.95,25869,Jacoby
25883 (2000 RD88),N,N,0,29.842,,,,,11.7,25883,
25895 (2000 XN9),N,N,0,33.195,,,,,11.9,25895,
25910 (2001 BM50),N,N,0,24.636,,,,,11.9,25910,
25911 (2001 BC76),N,N,0,18.098,,,,,12,25911,
25917 (2001 DT6),N,N,0,17.359,,,,,5.61,25917,
25937 Malysz (2001 DY92),N,N,0,15.131,,,,,12.2,25937,Malysz
25938 Stoch (2001 DC102),N,N,0,15.430,,,,,11.7,25938,Stoch
25977 (2001 FG46),N,N,0,22.255,,,,,5.48,25977,
25982 (2001 FQ57),N,N,0,15.789,,,,,5.84,25982,
26086 (1981 UE23),N,N,0,19.399,,,,,5.77,26086,
26325 (1998 VD29),N,N,0,23.033,,,,,5.7,26325,
26369 (1999 CG62),N,N,0,24.286,,,,,5.04,26369,
26382 Charlieduke (1999 LT32),N,N,0,22.946,,,,,5.62,26382,Charlieduke
26482 (2000 AM203),N,N,0,21.987,,,,,5.82,26482,
26568 (2000 ET49),N,N,0,16.708,,,,,5.61,26568,
26601 (2000 FD1),N,N,0,24.609,,,,,12.1,26601,
26610 (2000 FK39),N,N,0,16.376,,,,,5.33,26610,
